label
Lepidoptera
unclassified Lepidoptera
Glossata
environmental samples <Lepidoptera>
Zeugloptera
Aglossata
Heterobathmiina
Lepitoptera incertae sedis
Lepidoptera sp. BOLD:AAP1549
Lepidoptera sp. BOLD:AAP1556
Lepidoptera sp. BOLD:AAP1557
Lepidoptera sp. BOLD:AAP1562
Lepidoptera sp. BOLD:AAP1563
Lepidoptera sp. BOLD:AAP1566
Lepidoptera sp. BOLD:AAP1569
Lepidoptera sp. BOLD:AAP1570
Lepidoptera sp. BOLD:AAP1571
Lepidoptera sp. BOLD:AAP1574
Lepidoptera sp. BOLD:AAP1575
Lepidoptera sp. BOLD:AAP1576
Lepidoptera sp. BOLD:AAP1577
Lepidoptera sp. BOLD:AAP1579
Lepidoptera sp. BOLD:AAP1580
Lepidoptera sp. BOLD:AAP1581
Lepidoptera sp. BOLD:AAP1585
Lepidoptera sp. BOLD:AAP1587
Lepidoptera sp. BOLD:AAP1591
Lepidoptera sp. BOLD:AAP1593
Lepidoptera sp. BOLD:AAP1594
Lepidoptera sp. BOLD:AAP1595
Lepidoptera sp. BOLD:AAP1596
Lepidoptera sp. BOLD:AAP1597
Lepidoptera sp. BOLD:AAP1598
Lepidoptera sp. BOLD:AAP1601
Lepidoptera sp. BOLD:AAP1609
Lepidoptera sp. BOLD:AAP1619
Lepidoptera sp. BOLD:AAP1622
Lepidoptera sp. BOLD:AAP1626
Lepidoptera sp. BOLD:AAP1630
Lepidoptera sp. BOLD:AAP1633
Lepidoptera sp. BOLD:AAP1634
Lepidoptera sp. BOLD:AAP1636
Lepidoptera sp. BOLD:AAP1637
Lepidoptera sp. BOLD:AAP1642
Lepidoptera sp. BOLD:AAP1649
Lepidoptera sp. BOLD:AAP1651
Lepidoptera sp. BOLD:AAP1652
Lepidoptera sp. BOLD:AAP1653
Lepidoptera sp. BOLD:AAP1654
Lepidoptera sp. BOLD:AAP1655
Lepidoptera sp. BOLD:AAP1656
Lepidoptera sp. BOLD:AAP1657
Lepidoptera sp. BOLD:AAP1660
Lepidoptera sp. BOLD:AAP1661
Lepidoptera sp. BOLD:AAP1685
Lepidoptera sp. BOLD:AAP1687
Lepidoptera sp. BOLD:AAP1693
Lepidoptera sp. BOLD:AAP1701
Lepidoptera sp. BOLD:AAP1716
Lepidoptera sp. BOLD:AAP1717
Lepidoptera sp. BOLD:AAP1723
Lepidoptera sp. BOLD:AAP1725
Lepidoptera sp. BOLD:AAP1726
Lepidoptera sp. BOLD:AAP1728
Lepidoptera sp. BOLD:AAP1729
Lepidoptera sp. BOLD:AAP1730
Lepidoptera sp. BOLD:AAP1731
Lepidoptera sp. BOLD:AAP1732
Lepidoptera sp. BOLD:AAP1733
Lepidoptera sp. BOLD:AAP1734
Lepidoptera sp. BOLD:AAP1735
Lepidoptera sp. BOLD:AAP1736
Lepidoptera sp. BOLD:AAP1737
Lepidoptera sp. BOLD:AAP1738
Lepidoptera sp. BOLD:AAP1739
Lepidoptera sp. BOLD:AAP1740
Lepidoptera sp. BOLD:AAP1741
Lepidoptera sp. BOLD:AAP1742
Lepidoptera sp. BOLD:AAP1743
Lepidoptera sp. BOLD:AAP1744
Lepidoptera sp. BOLD:AAP1745
Lepidoptera sp. BOLD:AAP1746
Lepidoptera sp. BOLD:AAP1747
Lepidoptera sp. BOLD:AAP1748
Lepidoptera sp. BOLD:AAP1749
Lepidoptera sp. BOLD:AAP1750
Lepidoptera sp. BOLD:AAP1751
Lepidoptera sp. BOLD:AAP1752
Lepidoptera sp. BOLD:AAP1753
Lepidoptera sp. BOLD:AAP1754
Lepidoptera sp. BOLD:AAP1755
Lepidoptera sp. BOLD:AAP1757
Lepidoptera sp. BOLD:AAP1758
Lepidoptera sp. BOLD:AAP1760
Lepidoptera sp. BOLD:AAP1761
Lepidoptera sp. BOLD:AAP1762
Lepidoptera sp. BOLD:AAP1763
Lepidoptera sp. BOLD:AAP1764
Lepidoptera sp. BOLD:AAP1765
Lepidoptera sp. BOLD:AAP1766
Lepidoptera sp. BOLD:AAP1767
Lepidoptera sp. BOLD:AAP1768
Lepidoptera sp. BOLD:AAP1769
Lepidoptera sp. BOLD:AAP1770
Lepidoptera sp. BOLD:AAP1772
Lepidoptera sp. BOLD:AAP1773
Lepidoptera sp. BOLD:AAP1774
Lepidoptera sp. BOLD:AAP1775
Lepidoptera sp. BOLD:AAP1776
Lepidoptera sp. BOLD:AAP1777
Lepidoptera sp. BOLD:AAP1779
Lepidoptera sp. BOLD:AAP1780
Lepidoptera sp. BOLD:AAP1781
Lepidoptera sp. BOLD:AAP1783
Lepidoptera sp. BOLD:AAP1784
Lepidoptera sp. BOLD:AAP1785
Lepidoptera sp. BOLD:AAP1786
Lepidoptera sp. BOLD:AAP1787
Lepidoptera sp. BOLD:AAP1788
Lepidoptera sp. BOLD:AAP1789
Lepidoptera sp. BOLD:AAP1790
Lepidoptera sp. BOLD:AAP1791
Lepidoptera sp. BOLD:AAP1792
Lepidoptera sp. BOLD:AAP1793
Lepidoptera sp. BOLD:AAP1794
Lepidoptera sp. BOLD:AAP1795
Lepidoptera sp. BOLD:AAP1796
Lepidoptera sp. BOLD:AAP1797
Lepidoptera sp. BOLD:AAP1798
Lepidoptera sp. BOLD:AAP1799
Lepidoptera sp. BOLD:AAP1800
Lepidoptera sp. BOLD:AAP1801
Lepidoptera sp. BOLD:AAP1802
Lepidoptera sp. BOLD:AAP1803
Lepidoptera sp. BOLD:AAP1804
Lepidoptera sp. BOLD:AAP1805
Lepidoptera sp. BOLD:AAP1806
Lepidoptera sp. BOLD:AAP1807
Lepidoptera sp. BOLD:AAP1808
Lepidoptera sp. BOLD:AAP1809
Lepidoptera sp. BOLD:AAP1810
Lepidoptera sp. BOLD:AAP1812
Lepidoptera sp. BOLD:AAP1813
Lepidoptera sp. BOLD:AAP1814
Lepidoptera sp. BOLD:AAP1815
Lepidoptera sp. BOLD:AAP1816
